axis,role_family,role_qid,wikidata_id,name,norm_name_c2,wikidata_birth_date,source_row_key,source_name,gender,birth_date,birth_time,utc_offset,birth_year,birth_place,longitude,latitude,linkage_status,candidate_source_c2,rodden_rating,birth_source,selection_information_used,event_collection_started,astrology_scored
COMPETITIVE,athlete,Q2066131,Q2251158,Bernard Laporte,bernardlaporte,1964-07-01,BernardLaporte1964,Bernard Laporte,male,1964-07-01,05:30,+01:00,1964,"Rodez, France",2.574,44.351,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,tennis_player,Q10833314,Q23018387,Peter Palandjian,peterpalandjian,1964-02-12,PeterPalandjian1964,Peter Palandjian,male,1964-02-12,11:31,-05:00,1964,"Waltham, MA, United States",-71.239,42.376,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,boxer,Q11338576,Q2398357,Ken Buchanan,kenbuchanan,1945-06-28,KenBuchanan1945,Ken Buchanan,male,1945-06-28,02:25,+02:00,1945,"Edinburgh, United Kingdom",-3.188,55.95,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,athlete,Q2066131,Q242150,Helen Stephens,helenstephens,1918-02-03,HelenStephens1918,Helen Stephens,female,1918-02-03,02:35,-06:00,1918,"Fulton, MO, United States",-91.945,38.844,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,athlete,Q2066131,Q255353,Sjoukje Dijkstra,sjoukjedijkstra,1942-01-28,SjoukjeDijkstra1942,Sjoukje Dijkstra,female,1942-01-28,23:50,+02:00,1942,"Akkrum, Heerenveen, Netherlands",5.835,53.049,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,association_football_player,Q937857,Q2634770,Pierre Korb,pierrekorb,1908-04-20,PierreKorb1908,Pierre Korb,male,1908-04-20,07:30,+00:09,1908,"Mulhouse, France",7.34,47.75,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,tennis_player,Q10833314,Q264580,Émilie Loit,emilieloit,1979-06-09,ÉmilieLoit1979,Émilie Loit,female,1979-06-09,07:10,+02:00,1979,"Cherbourg-Octeville, Cherbourg-en-Cotentin, France",-1.624,49.638,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,association_football_player,Q937857,Q289948,Étienne Mattler,etiennemattler,1905-12-24,EtienneMattler1905,Etienne Mattler,male,1905-12-24,11:30,+00:09,1905,"Belfort, France",6.862,47.639,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,tennis_player,Q10833314,Q295488,Michaël Llodra,michaelllodra,1980-05-18,MichaelLlodra1980,Michael Llodra,male,1980-05-18,10:10,+02:00,1980,"Suresnes, France",2.222,48.87,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,association_football_player,Q937857,Q2958474,Charles Bardot,charlesbardot,1904-04-07,CharlesBardot1904,Charles Bardot,male,1904-04-07,14:00,-00:16,1904,"Conakry, Guinea",-13.559,9.622,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,athlete,Q2066131,Q3137,Jim Clark,jimclark,1936-03-04,JimClark1936,Jim Clark,male,1936-03-04,15:25,+00:00,1936,"Kilmany, Cupar, United Kingdom",-2.993,56.385,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
COMPETITIVE,athlete,Q2066131,Q316224,Tony Estanguet,tonyestanguet,1978-05-06,TonyEstanguet1978,Tony Estanguet,male,1978-05-06,12:50,+02:00,1978,"Pau, France",-0.375,43.298,PASS_EXACT_DOB,C2_COMPETITIVE_ORIGINAL_ROLE_SUPPLEMENT_EXACT_DOB,AA,Frozen VedAstro PersonList-15k snapshot,ORIGINAL_COMPETITIVE_ROLE_ONLY + WIKIDATA_P569_EXACT_DOB_LINKAGE,False,False
