pair_id,subject_id,preassigned_axis,collection_wave,positive_earlier_calc,positive_year,negative_year,control_positive_score,control_negative_score,control_correct
PRIMARY_TRUSTED_0171,V5DEV_108,STATUS,ORIGINAL,0,1976,1974,60.0,62.0,0.0
PRIMARY_TRUSTED_0172,V5DEV_108,STATUS,ORIGINAL,0,1993,1990,60.0,60.0,0.5
PRIMARY_TRUSTED_0173,V5DEV_109,STATUS,ORIGINAL,1,1968,1969,63.0,68.0,0.0
PRIMARY_TRUSTED_0174,V5DEV_109,STATUS,ORIGINAL,0,1974,1969,75.0,68.0,1.0
PRIMARY_TRUSTED_0175,V5DEV_114,STATUS,ORIGINAL,1,1949,1950,54.0,53.0,1.0
PRIMARY_TRUSTED_0176,V5DEV_114,STATUS,ORIGINAL,1,1968,1973,82.0,71.0,1.0
PRIMARY_TRUSTED_0177,V5DEV_117,STATUS,ORIGINAL,1,2002,2005,63.0,65.0,0.0
PRIMARY_TRUSTED_0178,V5DEV_117,STATUS,ORIGINAL,1,2004,2005,61.0,65.0,0.0
PRIMARY_TRUSTED_0179,V5DEV_117,STATUS,ORIGINAL,0,2008,2005,60.0,65.0,0.0
PRIMARY_TRUSTED_0180,V5DEV_118,STATUS,ORIGINAL,0,1946,1944,64.0,66.0,0.0
PRIMARY_TRUSTED_0181,V5DEV_121,STATUS,ORIGINAL,1,2002,2005,67.0,73.0,0.0
PRIMARY_TRUSTED_0182,V5DEV_125,STATUS,ORIGINAL,0,2016,2014,73.0,81.0,0.0
PRIMARY_TRUSTED_0183,V5DEV_126,STATUS,ORIGINAL,1,1940,1945,50.0,59.0,0.0
PRIMARY_TRUSTED_0184,V5DEV_126,STATUS,ORIGINAL,1,1941,1945,53.0,59.0,0.0
PRIMARY_TRUSTED_0185,V5DEV_134,STATUS,ORIGINAL,1,2015,2020,57.0,62.0,0.0
PRIMARY_TRUSTED_0186,V5DEV_138,STATUS,ORIGINAL,1,2012,2014,68.0,74.0,0.0
PRIMARY_TRUSTED_0187,V5DEV_138,STATUS,ORIGINAL,0,2016,2014,67.0,74.0,0.0
PRIMARY_TRUSTED_0188,V5DEV_150,STATUS,ORIGINAL,1,2012,2013,73.0,67.0,1.0
PRIMARY_TRUSTED_0189,V5DEV_152,STATUS,ORIGINAL,1,1942,1944,81.0,67.0,1.0
PRIMARY_TRUSTED_0190,V5DEV_155,STATUS,ORIGINAL,1,1989,1992,85.0,64.0,1.0
PRIMARY_TRUSTED_0191,V5DEV_156,STATUS,ORIGINAL,1,2001,2002,57.0,58.0,0.0
PRIMARY_TRUSTED_0192,V5DEV_158,STATUS,ORIGINAL,1,1957,1960,56.0,58.0,0.0
PRIMARY_TRUSTED_0193,V5DEV_158,STATUS,ORIGINAL,0,1961,1960,55.0,58.0,0.0
