C,l1_ratio,inner_macro,inner_p10,repeat,fold
0.03,0.75,0.3333333333333333,0.0,2,3
0.03,1.0,0.3333333333333333,0.0,2,3
0.1,1.0,0.3333333333333333,0.0,2,3
0.03,0.25,0.6666666666666666,0.2,2,4
0.03,0.5,0.6666666666666666,0.2,2,4
0.03,0.75,0.6666666666666666,0.2,2,4
0.03,1.0,0.6666666666666666,0.2,2,4
0.1,0.75,0.6666666666666666,0.2,2,4
0.1,1.0,0.6666666666666666,0.2,2,4
1.0,0.5,0.42615334632878493,0.37481481481481477,2,4
1.0,0.25,0.419330734243015,0.3548148148148148,2,4
0.1,0.5,0.41081871345029236,0.4026315789473684,2,4
1.0,0.75,0.4037361923326835,0.36925925925925923,2,4
0.3,1.0,0.39818063677712795,0.35703703703703704,2,4
1.0,1.0,0.3962313190383366,0.33370370370370367,2,4
0.3,0.25,0.3805393112410656,0.3525925925925926,2,4
0.1,0.25,0.3785575048732943,0.31555555555555553,2,4
0.3,0.5,0.37774528914879785,0.3396296296296296,2,4
0.3,0.75,0.3734892787524366,0.3244444444444444,2,4
0.3,0.75,0.5025990903183885,0.44912280701754387,3,0
1.0,0.75,0.4962638076673165,0.4337231968810916,3,0
0.1,0.5,0.4912280701754386,0.42280701754385963,3,0
1.0,1.0,0.47644574398960365,0.4,3,0
0.3,1.0,0.47628330084470427,0.4175438596491228,3,0
0.3,0.5,0.46994801819363224,0.4035087719298246,3,0
1.0,0.5,0.4699480181936322,0.4035087719298246,3,0
1.0,0.25,0.4403833658219623,0.3736842105263158,3,0
0.3,0.25,0.4166666666666667,0.3631578947368421,3,0
0.1,0.25,0.41293047433398317,0.3701754385964912,3,0
0.1,0.75,0.36565951916829115,0.11939571150097465,3,0
0.03,0.25,0.3333333333333333,0.0,3,0
0.03,0.5,0.3333333333333333,0.0,3,0
0.03,0.75,0.3333333333333333,0.0,3,0
0.03,1.0,0.3333333333333333,0.0,3,0
0.1,1.0,0.3333333333333333,0.0,3,0
0.03,0.5,0.6666666666666666,0.2,3,1
0.1,0.25,0.582748538011696,0.5368421052631579,3,1
1.0,0.75,0.5800194931773879,0.5210526315789473,3,1
1.0,0.25,0.5652046783625732,0.5210526315789473,3,1
0.3,0.25,0.5593567251461988,0.5228070175438597,3,1
1.0,0.5,0.5519493177387914,0.5070175438596491,3,1
0.3,0.5,0.5505847953216374,0.5017543859649123,3,1
1.0,1.0,0.5432748538011696,0.4280701754385965,3,1
0.3,0.75,0.5359649122807019,0.4719298245614036,3,1
0.3,1.0,0.5335282651072125,0.4491228070175439,3,1
0.1,0.5,0.43576998050682264,0.3614619883040936,3,1
0.1,0.75,0.3625730994152047,0.05964912280701754,3,1
0.03,0.25,0.3333333333333333,0.0,3,1
0.03,0.75,0.3333333333333333,0.0,3,1
0.03,1.0,0.3333333333333333,0.0,3,1
0.1,1.0,0.3333333333333333,0.0,3,1
0.03,0.5,0.6666666666666666,0.2,3,2
0.03,0.75,0.6666666666666666,0.2,3,2
0.03,1.0,0.6666666666666666,0.2,3,2
0.1,1.0,0.6666666666666666,0.2,3,2
0.03,0.25,0.6274509803921569,0.17647058823529413,3,2
0.1,0.75,0.620141038871689,0.24313725490196075,3,2
0.1,0.5,0.5441061804838895,0.5200653594771243,3,2
1.0,1.0,0.49752321981424147,0.4626315789473684,3,2
1.0,0.75,0.47246875358330476,0.41751633986928105,3,2
0.3,0.25,0.4613175094599242,0.3889473684210526,3,2
1.0,0.5,0.45395023506478616,0.3730718954248366,3,2
0.3,0.5,0.4516569200779727,0.4076608187134503,3,2
1.0,0.25,0.4515135878912968,0.3889473684210526,3,2
0.3,0.75,0.4511122577686046,0.42988304093567253,3,2
0.3,1.0,0.4492489393418186,0.43281733746130024,3,2
0.1,0.25,0.4477009517257195,0.40967320261437906,3,2
0.1,1.0,0.6666666666666666,0.2,3,3
0.1,0.5,0.5358024691358024,0.4822222222222222,3,3
0.3,0.25,0.5196393762183237,0.4572222222222222,3,3
1.0,0.25,0.5010721247563353,0.4750877192982456,3,3
0.3,1.0,0.49727095516569203,0.436140350877193,3,3
1.0,0.75,0.4970272904483431,0.43277777777777776,3,3
1.0,0.5,0.4852826510721247,0.39888888888888885,3,3
1.0,1.0,0.4752923976608187,0.41833333333333333,3,3
0.3,0.75,0.4436159844054581,0.3945029239766082,3,3
0.1,0.25,0.4402046783625731,0.41426900584795323,3,3
0.3,0.5,0.43386939571150096,0.399766081871345,3,3
0.03,0.25,0.3333333333333333,0.0,3,3
0.03,0.5,0.3333333333333333,0.0,3,3
0.03,0.75,0.3333333333333333,0.0,3,3
0.03,1.0,0.3333333333333333,0.0,3,3
0.1,0.75,0.3333333333333333,0.0,3,3
1.0,1.0,0.5313840155945418,0.4653216374269005,3,4
1.0,0.25,0.5067738791423002,0.38403508771929823,3,4
0.3,0.25,0.4938109161793372,0.37070175438596487,3,4
1.0,0.75,0.48021442495126715,0.3925146198830409,3,4
0.1,0.25,0.4764782326185835,0.4150292397660819,3,4
0.3,1.0,0.4696881091617933,0.4228070175438597,3,4
1.0,0.5,0.46632553606237814,0.3925146198830409,3,4
0.3,0.75,0.4615009746588694,0.42426900584795324,3,4
0.3,0.5,0.4582846003898635,0.40654970760233916,3,4
0.1,0.5,0.441585445094217,0.31087719298245614,3,4
0.03,0.5,0.3333333333333333,0.0,3,4
0.03,1.0,0.3333333333333333,0.0,3,4
0.1,1.0,0.3333333333333333,0.0,3,4
0.03,0.25,0.2716049382716049,0.0,3,4
0.1,0.75,0.2716049382716049,0.0,3,4
0.03,0.75,0.0,0.0,3,4
0.3,1.0,0.5541747888239116,0.3929824561403508,4,0
1.0,0.25,0.49699480181936323,0.4316764132553606,4,0
0.3,0.75,0.49423326835607534,0.2963450292397661,4,0
0.1,0.25,0.48562378167641324,0.2793859649122807,4,0
0.3,0.25,0.48286224821312534,0.3755360623781676,4,0
1.0,0.75,0.47262833008447047,0.3009746588693958,4,0
0.3,0.5,0.46791747888239116,0.24429824561403513,4,0
1.0,1.0,0.45069850552306684,0.3048245614035087,4,0
1.0,0.5,0.4451754385964912,0.2739766081871345,4,0
0.1,0.5,0.44225146198830406,0.38547758284600386,4,0
0.03,0.25,0.3333333333333333,0.0,4,0
0.03,0.5,0.3333333333333333,0.0,4,0
0.03,0.75,0.3333333333333333,0.0,4,0
0.03,1.0,0.3333333333333333,0.0,4,0
0.1,1.0,0.3333333333333333,0.0,4,0
0.1,0.75,0.2469135802469136,0.0,4,0
0.03,0.5,1.0,1.0,4,1
0.03,0.75,1.0,1.0,4,1
0.03,1.0,1.0,1.0,4,1
0.1,1.0,1.0,1.0,4,1
0.03,0.25,0.9876543209876543,0.9703703703703703,4,1
0.1,0.75,0.7318063677712802,0.6127680311890839,4,1
0.3,0.75,0.5461988304093568,0.5035087719298246,4,1
0.3,0.25,0.5426250812215724,0.4791423001949317,4,1
