repeat,fold,pair_id,subject_id,axis,candidate_margin,candidate_correct,control_margin,control_correct
4,1,V4UDW2_004_P01,V4UDW2_004,PROJECT,-0.2784017485428971,0.0,2.0,1.0
4,1,V4UDW2_009_P01,V4UDW2_009,PROJECT,-0.027525238477379352,0.0,-8.0,0.0
4,1,V4UDW2_015_P01,V4UDW2_015,STATUS,0.1967255215829967,1.0,-1.0,0.0
4,1,V4UDW2_021_P01,V4UDW2_021,STATUS,-0.07295963433178239,0.0,1.0,1.0
4,2,V4UD_008_P01,V4UD_008,COMPETITIVE,0.44518175431292334,1.0,0.0,0.0
4,2,V4UD_019_P01,V4UD_019,COMPETITIVE,-0.6267431773233677,0.0,-6.0,0.0
4,2,V4UD_020_P01,V4UD_020,COMPETITIVE,0.4017928254091919,1.0,6.0,1.0
4,2,V4UD_025_P01,V4UD_025,COMPETITIVE,0.12330562869632458,1.0,8.0,1.0
4,2,V4UD_030_P01,V4UD_030,COMPETITIVE,0.09588165166964574,1.0,-12.0,0.0
4,2,V4UD_036_P01,V4UD_036,PROJECT,-0.02825575007349568,0.0,5.0,1.0
4,2,V4UD_044_P01,V4UD_044,PROJECT,-0.15921516407935013,0.0,3.0,1.0
4,2,V4UD_049_P01,V4UD_049,PROJECT,-0.830215422364912,0.0,6.0,1.0
4,2,V4UD_053_P01,V4UD_053,PROJECT,0.3139301267648118,1.0,0.0,0.0
4,2,V4UD_076_P01,V4UD_076,STATUS,0.798360367404479,1.0,-1.0,0.0
4,2,V4UD_091_P01,V4UD_091,STATUS,0.10420779583851406,1.0,10.0,1.0
4,2,V4UD_094_P01,V4UD_094,STATUS,-1.0056969496938863,0.0,7.0,1.0
4,2,V4UD_100_P01,V4UD_100,STATUS,-0.18091086888860244,0.0,10.0,1.0
4,2,V4UDW2_001_P01,V4UDW2_001,COMPETITIVE,-0.6701163056855817,0.0,5.0,1.0
4,2,V4UDW2_006_P01,V4UDW2_006,PROJECT,-0.16426816841975436,0.0,14.0,1.0
4,2,V4UDW2_013_P01,V4UDW2_013,STATUS,0.23256153596230542,1.0,11.0,1.0
4,2,V4UDW2_016_P01,V4UDW2_016,STATUS,0.1546114432198357,1.0,-3.0,0.0
4,2,V4UDW2_019_P01,V4UDW2_019,STATUS,-0.9932670912392136,0.0,-6.0,0.0
4,2,V4UDW2_024_P01,V4UDW2_024,STATUS,0.4746828527216031,1.0,-8.0,0.0
4,2,V4UDW2_044_P01,V4UDW2_044,STATUS,-0.004673755291260466,0.0,-2.0,0.0
