C,inner_balanced_macro,inner_p10,repeat,fold,model
3.0,0.7495028120028119,0.6995393495393495,1,4,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
1.0,0.6938325563325564,0.6750333000333001,1,4,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.3,0.6344646094646095,0.605938505938506,1,4,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.03,0.5467948717948717,0.5426984126984127,1,4,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.1,0.5347726347726347,0.5041541791541791,1,4,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.01,0.5128482628482628,0.49945054945054945,1,4,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.003,0.5108687608687609,0.4923076923076923,1,4,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.003,0.5786040348540349,0.44428613053613053,2,0,TG10_SHARED_RIDGE_BALANCED
0.01,0.5615100177600179,0.4340297202797203,2,0,TG10_SHARED_RIDGE_BALANCED
0.03,0.5540549728049728,0.45623834498834503,2,0,TG10_SHARED_RIDGE_BALANCED
0.1,0.5455181392681393,0.4973921911421912,2,0,TG10_SHARED_RIDGE_BALANCED
3.0,0.5282011969511969,0.39129953379953375,2,0,TG10_SHARED_RIDGE_BALANCED
0.3,0.5105211917711917,0.4349009324009324,2,0,TG10_SHARED_RIDGE_BALANCED
1.0,0.5025435212935213,0.4203554778554779,2,0,TG10_SHARED_RIDGE_BALANCED
3.0,0.6804757742257742,0.647770979020979,2,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
1.0,0.6274607337107337,0.5783828671328671,2,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.3,0.6021462333962334,0.5276311188811189,2,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.03,0.5881172068672069,0.5055273892773893,2,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.1,0.5840365652865653,0.4909994172494173,2,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.003,0.580740786990787,0.45710664335664336,2,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
0.01,0.5805423742923743,0.4584527972027972,2,0,TG10_MULTITASK_EFFECT_RIDGE_BALANCED
1.0,0.5657467532467532,0.45064102564102565,2,1,TG10_SHARED_RIDGE_BALANCED
0.03,0.5516798016798017,0.5427128427128427,2,1,TG10_SHARED_RIDGE_BALANCED
