feature_set,repeat,seed,n_subjects,macro_pairwise,subject_hit_rate,median_sep
C_PLUS_RELATIONS,20,20260835,23,0.4162870945479641,0.5217391304347826,0.118887048967935
C_PLUS_RELATIONS,21,20260836,23,0.5302967563837129,0.6956521739130435,0.7177730594035445
C_PLUS_RELATIONS,22,20260837,23,0.5158040027605245,0.5652173913043478,0.11438430692304624
C_PLUS_RELATIONS,23,20260838,23,0.5538992408557626,0.5217391304347826,0.06390304534776181
C_PLUS_RELATIONS,24,20260839,23,0.7381297446514838,0.7391304347826086,2.1078155798909717
C_PLUS_RELATIONS,25,20260840,23,0.5019668737060041,0.6086956521739131,0.45450971052543876
C_PLUS_RELATIONS,26,20260841,23,0.5935127674258108,0.6521739130434783,1.1845068100449727
C_PLUS_RELATIONS,27,20260842,23,0.5409247757073843,0.5652173913043478,0.9576185221455326
C_PLUS_RELATIONS,28,20260843,23,0.5462387853692201,0.5217391304347826,0.9625823095453483
C_PLUS_RELATIONS,29,20260844,23,0.5685645272601793,0.6521739130434783,0.9632476523819322
C_PLUS_RELATIONS,30,20260845,23,0.5600069013112491,0.5652173913043478,0.1458588909518852
C_PLUS_RELATIONS,31,20260846,23,0.6219461697722567,0.6086956521739131,1.0164553250211312
C_PLUS_RELATIONS,32,20260847,23,0.5492063492063493,0.6086956521739131,1.1345813055918326
C_PLUS_RELATIONS,33,20260848,23,0.4697722567287785,0.6086956521739131,0.5649004656520926
C_PLUS_RELATIONS,34,20260849,23,0.4674948240165631,0.6086956521739131,0.9480631599242992
C_PLUS_RELATIONS,35,20260850,23,0.5923740510697033,0.5652173913043478,0.5737762279734077
C_PLUS_RELATIONS,36,20260851,23,0.6351621808143547,0.7391304347826086,0.6328555642654266
C_PLUS_RELATIONS,37,20260852,23,0.5957556935817806,0.5652173913043478,0.7997107210922408
C_PLUS_RELATIONS,38,20260853,23,0.6035886818495514,0.7391304347826086,0.7498946696178219
C_PLUS_RELATIONS,39,20260854,23,0.5391649413388543,0.5652173913043478,1.16679615431789
C_PLUS_RELATIONS,40,20260855,23,0.5348171152518979,0.5217391304347826,0.1907604109909895
C_PLUS_RELATIONS,41,20260856,23,0.5512422360248447,0.5217391304347826,0.3405540670987772
C_PLUS_RELATIONS,42,20260857,23,0.5885783298826777,0.6521739130434783,0.6116285041969645
C_PLUS_RELATIONS,43,20260858,23,0.533367839889579,0.4782608695652174,-0.09225935155689857
C_PLUS_RELATIONS,44,20260859,23,0.4825396825396826,0.5652173913043478,0.4716483384253688
C_PLUS_RELATIONS,45,20260860,23,0.4819185645272602,0.5217391304347826,0.003756617917809457
C_PLUS_RELATIONS,46,20260861,23,0.5442374051069703,0.6521739130434783,0.8447952431902243
