C,l1_ratio,inner_pairwise,inner_p10,repeat,fold
0.1,0.5,0.5381457115009747,0.44078947368421056,1,3
0.1,0.25,0.5347953216374269,0.43157894736842106,1,3
0.03,0.5,0.5320784600389863,0.46059941520467834,1,3
0.03,0.75,0.5223614592035645,0.43665831244778613,1,3
0.03,1.0,0.5132240323029796,0.46043859649122804,1,3
0.03,0.25,0.49428606237816763,0.4192105263157895,1,3
0.03,0.25,0.5580183096630466,0.49271442495126705,1,4
0.1,0.75,0.5525462962962963,0.48932261208576994,1,4
0.1,0.5,0.5509276663881927,0.5032115009746588,1,4
0.03,0.5,0.5491187459389213,0.5085038986354776,1,4
0.1,1.0,0.5477948343079921,0.49498538011695903,1,4
0.3,0.75,0.5476538568643832,0.49132553606237817,1,4
0.1,0.25,0.5452885686438318,0.47821150097465887,1,4
1.0,0.25,0.5426308827624617,0.49980506822612086,1,4
1.0,0.75,0.5386626287942078,0.49132553606237817,1,4
0.3,0.5,0.5377854358117515,0.48343079922027293,1,4
1.0,1.0,0.5367133110554163,0.49744639376218325,1,4
0.3,1.0,0.5325222779170149,0.4863255360623782,1,4
0.3,0.25,0.526026872737399,0.4705945419103314,1,4
1.0,0.5,0.5209099136730715,0.4810916179337232,1,4
0.03,0.75,0.4933090828924162,0.4653882391163093,1,4
0.03,1.0,0.45258574677434327,0.4217871066555277,1,4
0.03,0.25,0.5069966583124478,0.46292397660818707,2,0
0.1,0.75,0.5054023948760791,0.4552436647173489,2,0
0.3,0.75,0.5046557365636313,0.4539814814814815,2,0
0.03,1.0,0.49738408521303257,0.38739766081871346,2,0
0.1,1.0,0.49680103035366197,0.4628849902534113,2,0
0.03,0.75,0.4870387774993038,0.4226559454191033,2,0
0.3,1.0,0.48476225285435814,0.4400925925925926,2,0
0.1,0.5,0.4765507518796992,0.4539132553606237,2,0
0.3,0.25,0.4763297131718185,0.43576719576719575,2,0
0.03,0.5,0.47542119186856024,0.3936939571150097,2,0
0.3,0.5,0.4748677248677249,0.4498148148148148,2,0
0.1,0.25,0.4743194792536898,0.44548941798941794,2,0
1.0,0.75,0.47031119465329996,0.4462475633528265,2,0
1.0,1.0,0.4701284461152882,0.42731481481481476,2,0
1.0,0.25,0.46573029796714005,0.43576719576719575,2,0
1.0,0.5,0.460077276524645,0.4345029239766082,2,0
1.0,0.5,0.5387914230019494,0.4505165692007797,2,1
1.0,0.25,0.5223643599740091,0.4426218323586744,2,1
0.3,0.5,0.5155945419103314,0.4125828460038986,2,1
0.3,0.25,0.515338693957115,0.39471734892787524,2,1
0.3,0.75,0.505567738791423,0.4214327485380117,2,1
1.0,0.75,0.5021483105912931,0.3997855750487329,2,1
1.0,1.0,0.49624350227420405,0.4050194931773879,2,1
0.1,0.25,0.49189002599090315,0.38013157894736843,2,1
