astrology_scored,axis,birth_date,birth_ok,birth_place,birth_time,birth_year,candidate_source,eligible,event_collection_started,gender,latitude,longitude,name,norm_name,prior_used,role_family,role_qid,seed_origin,selection_information_used,source_name,source_row_key,utc_offset,wave,wikidata_id,wikidata_sitelinks
False,PROJECT,1944-06-04,True,"Toamasina Toamasina I, Atsinanana, Madagascar",09:50,1944.0,V5_WIKIDATA_EXPANSION,True,False,male,-18.15,49.405,Antoine,antoine,False,singer,Q177220,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,Antoine,Antoine1944,+03:00,V5_ROLE_ONLY_EXPANSION,Q369811,
False,PROJECT,1939-03-03,True,"Boulogne-Billancourt, France",20:50,1939.0,V5_WIKIDATA_EXPANSION,True,False,female,48.834,2.243,Ariane Mnouchkine,arianemnouchkine,False,film_director,Q2526255,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,Ariane Mnouchkine,ArianeMnouchkine1939,+00:00,V5_ROLE_ONLY_EXPANSION,Q179449,
False,PROJECT,1953-04-27,True,"Hartford, CT, United States",20:34,1953.0,V5_WIKIDATA_EXPANSION,True,False,female,41.766,-72.673,Arielle Dombasle,arielledombasle,False,film_director,Q2526255,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,Arielle Dombasle,ArielleDombasle1953,-04:00,V5_ROLE_ONLY_EXPANSION,Q284731,
False,PROJECT,1922-09-27,True,"Philadelphia, PA, United States",20:40,1922.0,V5_WIKIDATA_EXPANSION,True,False,male,39.951,-75.166,Arthur Penn,arthurpenn,False,film_director,Q2526255,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,Arthur Penn,ArthurPenn1922,-05:00,V5_ROLE_ONLY_EXPANSION,Q41136,
False,PROJECT,1909-10-13,True,"Toledo, OH, United States",09:00,1909.0,V5_WIKIDATA_EXPANSION,True,False,male,41.655,-83.536,Art Tatum,arttatum,False,musician,Q639669,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,Art Tatum,ArtTatum1909,-05:00,V5_ROLE_ONLY_EXPANSION,Q109053,
False,PROJECT,1975-09-20,True,"Rome, Italy",08:07,1975.0,V5_WIKIDATA_EXPANSION,True,False,female,41.891,12.494,Asia Argento,asiaargento,False,singer,Q177220,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,Asia Argento,AsiaArgento1975,+02:00,V5_ROLE_ONLY_EXPANSION,Q232052,
False,PROJECT,1929-05-04,True,"Ixelles, Brussels, Belgium",03:00,1929.0,V5_WAVE_A,True,False,female,50.828,4.372,Audrey Hepburn,audreyhepburn,False,,,WAVE2_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_CHECK_ALLOWED;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_ASTROLOGY,Audrey Hepburn,AudreyHepburn1929,+01:00,V5_ROSTER_WAVE_A_AVAILABLE_POOL,,
False,PROJECT,1976-08-09,True,"Beaumont, France",09:55,1976.0,V5_WIKIDATA_EXPANSION,True,False,female,45.75,3.086,Audrey Tautou,audreytautou,False,musician,Q639669,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,Audrey Tautou,AudreyTautou1976,+02:00,V5_ROLE_ONLY_EXPANSION,Q304123,
False,PROJECT,1922-12-24,True,"Boon Hill, NC, United States",19:10,1922.0,V5_WIKIDATA_EXPANSION,True,False,female,35.47,-78.157,Ava Gardner,avagardner,False,actor,Q33999,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,Ava Gardner,AvaGardner1922,-05:00,V5_ROLE_ONLY_EXPANSION,Q164487,
False,PROJECT,1930-06-09,True,"Paris, France",16:00,1930.0,V5_WIKIDATA_EXPANSION,True,False,female,48.857,2.351,Barbara,barbara,False,actor,Q33999,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,Barbara,Barbara1930,+01:00,V5_ROLE_ONLY_EXPANSION,Q1804,
