axis,role_family,role_qid,wikidata_id,name,norm_name,wikidata_sitelinks,seed_origin,selection_information_used,source_row_key,source_name,gender,birth_date,birth_time,utc_offset,birth_year,birth_place,longitude,latitude,eligible,prior_used,birth_ok,wave,event_collection_started,astrology_scored
COMPETITIVE,boxer,Q11338576,Q3779281,Guido Ferracin,guidoferracin,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,GuidoFerracin1926,Guido Ferracin,male,1926-01-18,12:45,+01:00,1926,"Villamarzana, Italy",11.698,45.015,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,tennis_player,Q10833314,Q974288,Guillaume Raoux,guillaumeraoux,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,GuillaumeRaoux1970,Guillaume Raoux,male,1970-02-14,10:15,+01:00,1970,"Bagnols-sur-Cèze, France",4.616,44.154,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,tennis_player,Q10833314,Q560175,Guy Forget,guyforget,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,GuyForget1965,Guy Forget,male,1965-01-04,01:15,+00:00,1965,"Casablanca, Casablanca-Settat, Morocco",-7.615,33.596,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,boxer,Q11338576,Q176226,Hacine Cherifi,hacinecherifi,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,HacineCherifi1967,Hacine Cherifi,male,1967-12-12,06:50,+01:00,1967,"Lyon, France",4.834,45.767,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,athlete,Q2066131,Q62177,Hans Günter Winkler,hansgunterwinkler,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,HansGünterWinkler1926,Hans Günter Winkler,male,1926-07-24,04:30,+01:00,1926,"Wuppertal, Germany",7.151,51.256,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,athlete,Q2066131,Q5660463,Harold Davis,harolddavis,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,HaroldDavis1921,Harold Davis,male,1921-01-05,02:21,-08:00,1921,"Salinas, CA, United States",-121.656,36.677,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,boxer,Q11338576,Q115925,Harold Gomes,haroldgomes,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,HaroldGomes1933,Harold Gomes,male,1933-08-22,07:52,-04:00,1933,"Providence, RI, United States",-71.413,41.824,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,boxer,Q11338576,Q1600689,Heinz Neuhaus,heinzneuhaus,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,HeinzNeuhaus1926,Heinz Neuhaus,male,1926-04-14,13:15,+01:00,1926,"Dortmund, Germany",7.464,51.511,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,athlete,Q2066131,Q242150,Helen Stephens,helenstephens,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,HelenStephens1918,Helen Stephens,female,1918-02-03,02:35,-06:00,1918,"Fulton, MO, United States",-91.945,38.844,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,tennis_player,Q10833314,Q371971,Henri Cochet,henricochet,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,HenriCochet1901,Henri Cochet,male,1901-12-14,11:00,+00:09,1901,"Villeurbanne, France",4.88,45.765,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
COMPETITIVE,tennis_player,Q10833314,Q455322,Henri Leconte,henrileconte,,V5_WIKIDATA_ROLE_ONLY_EXPANSION,ROLE_CATEGORY_ONLY;IDENTITY_LABEL;NO_EVENT_OUTCOME;NO_CHRONOLOGY;NO_PAIRABILITY;NO_ASTROLOGY;NO_CONTROL,HenriLeconte1963,Henri Leconte,male,1963-07-04,08:45,+01:00,1963,"Lillers, France",2.482,50.564,True,False,True,V5_ROLE_ONLY_EXPANSION,False,False
