feature_set,repeat,n_subjects,macro_pairwise,subject_hit_rate,median_sep
TENGOD,30,23,0.6117494824016563,0.5652173913043478,0.44208981275476045
TENGOD,31,23,0.6110248447204969,0.6956521739130435,0.5063639936724333
TENGOD,32,23,0.5392857142857143,0.5652173913043478,0.06888674798066524
TENGOD,33,23,0.6016045548654244,0.6521739130434783,0.564818140991669
TENGOD,34,23,0.627208419599724,0.6521739130434783,0.7966960328480424
TENGOD,35,23,0.61972049689441,0.6086956521739131,0.7086178831220854
TENGOD,36,23,0.6281746031746033,0.6086956521739131,0.6108457334301082
TENGOD,37,23,0.6098861283643892,0.6521739130434783,0.6277000588639752
TENGOD,38,23,0.6499137336093859,0.6521739130434783,0.5186100849444877
TENGOD,39,23,0.6412180814354729,0.6956521739130435,0.6630530987461472
TENGOD,40,23,0.6223775017253278,0.6086956521739131,0.5240406713083194
TENGOD,41,23,0.5810731538992409,0.6521739130434783,0.4678583774741375
TENGOD,42,23,0.5921842650103519,0.6521739130434783,0.44131199395465526
TENGOD,43,23,0.5885610766045549,0.5652173913043478,0.4200540467476648
TENGOD,44,23,0.6112663906142167,0.6521739130434783,0.4019372803224941
TENGOD,45,23,0.5822808833678399,0.6086956521739131,0.3675725752269533
TENGOD,46,23,0.6390441683919945,0.6521739130434783,0.5190913184024133
TENGOD,47,23,0.5955659075224293,0.6086956521739131,0.4495909731080934
TENGOD,48,23,0.6088509316770186,0.6521739130434783,0.5511057757478898
TENGOD,49,23,0.618512767425811,0.6521739130434783,0.6415658268893742
YONGSHIN,0,23,0.6148033126293997,0.6521739130434783,0.41826559628976256
YONGSHIN,1,23,0.5288129744651484,0.6521739130434783,0.4507599433763576
YONGSHIN,2,23,0.4602139406487233,0.5652173913043478,0.27471817881968397
YONGSHIN,3,23,0.5751897860593512,0.5652173913043478,0.31380752446014704
YONGSHIN,4,23,0.5454796411318151,0.6086956521739131,0.6012689302226857
YONGSHIN,5,23,0.5865424430641821,0.6086956521739131,0.831332904634384
