C,inner_macro,inner_p10,repeat,fold,model,kind,l1_ratio
0.3,0.6669980812837956,0.6150706436420723,0,2,ALL_ORTHODOX_RIDGE_AUTO,NPLUS,
3.0,0.6520408163265307,0.6304552590266876,0,2,ALL_ORTHODOX_RIDGE_AUTO,NPLUS,
0.03,0.6493480725623583,0.6112114076399792,0,2,ALL_ORTHODOX_RIDGE_AUTO,NPLUS,
0.1,0.6452032094889236,0.6073783359497645,0,2,ALL_ORTHODOX_RIDGE_AUTO,NPLUS,
1.0,0.6232709750566894,0.6011420722135008,0,2,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.25
1.0,0.6215157858015,0.6088461538461538,0,2,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.5
0.1,0.6075309611023897,0.5667948717948718,0,2,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.25
0.3,0.6050649747078318,0.5667948717948718,0,2,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.5
0.3,0.6048600209314494,0.553076923076923,0,2,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,1.0
1.0,0.596866823652538,0.5597435897435897,0,2,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.75
0.3,0.5966684109541253,0.5641666666666667,0,2,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.25
1.0,0.5907618175475319,0.5347435897435898,0,2,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,1.0
0.3,0.588376504447933,0.5242307692307692,0,2,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.75
0.1,0.556889935461364,0.4908974358974359,0,2,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.5
0.1,0.48183760683760685,0.16602564102564102,0,2,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.75
0.03,0.4513888888888889,0.14775641025641026,0,2,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.25
0.1,0.4001068376068376,0.08333333333333333,0,2,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,1.0
0.03,0.3333333333333333,0.0,0,2,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.5
0.03,0.3333333333333333,0.0,0,2,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.75
0.03,0.3333333333333333,0.0,0,2,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,1.0
1.0,0.6871446014303157,0.6499149659863945,0,2,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.25
1.0,0.6866867259724403,0.6396153846153847,0,2,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.75
0.3,0.6802546659689517,0.6526399790685505,0,2,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.5
1.0,0.6749345892203035,0.6344871794871794,0,2,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,1.0
1.0,0.6707373975231118,0.6426347462061748,0,2,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.5
0.3,0.6640524158381301,0.6137179487179487,0,2,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.25
0.1,0.619740973312402,0.6040384615384615,0,2,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.25
0.3,0.601349642421071,0.564871794871795,0,2,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,1.0
0.3,0.5988836560265132,0.5671794871794872,0,2,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.75
0.1,0.5862702773417059,0.4934615384615385,0,2,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.5
0.1,0.5507478632478633,0.32564102564102565,0,2,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.75
0.03,0.4592490842490842,0.22980769230769232,0,2,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.25
0.1,0.4548992673992674,0.16057692307692306,0,2,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,1.0
0.03,0.3333333333333333,0.0,0,2,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.5
0.03,0.0,0.0,0,2,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.75
0.03,0.0,0.0,0,2,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,1.0
0.1,0.5244536019536019,0.4805238095238095,0,3,TG10_RIDGE_DIAGNOSTIC,ASTRO,
0.03,0.5002777777777778,0.4838571428571428,0,3,TG10_RIDGE_DIAGNOSTIC,ASTRO,
0.3,0.48839133089133085,0.45853479853479856,0,3,TG10_RIDGE_DIAGNOSTIC,ASTRO,
1.0,0.4793437118437119,0.428952380952381,0,3,TG10_RIDGE_DIAGNOSTIC,ASTRO,
3.0,0.46341269841269844,0.3943333333333333,0,3,TG10_RIDGE_DIAGNOSTIC,ASTRO,
0.3,0.6903663003663004,0.6405054945054945,0,3,TG10_RIDGE_DIAGNOSTIC,NPLUS,
0.1,0.6683302808302809,0.6432142857142856,0,3,TG10_RIDGE_DIAGNOSTIC,NPLUS,
0.03,0.6351282051282051,0.5898571428571429,0,3,TG10_RIDGE_DIAGNOSTIC,NPLUS,
1.0,0.633021978021978,0.6186666666666667,0,3,TG10_RIDGE_DIAGNOSTIC,NPLUS,
3.0,0.6278907203907205,0.6050238095238095,0,3,TG10_RIDGE_DIAGNOSTIC,NPLUS,
0.1,0.48294261294261287,0.44799999999999995,0,3,ALL_ORTHODOX_RIDGE_AUTO,ASTRO,
0.3,0.47704517704517707,0.4695604395604396,0,3,ALL_ORTHODOX_RIDGE_AUTO,ASTRO,
0.03,0.4752075702075702,0.4343809523809523,0,3,ALL_ORTHODOX_RIDGE_AUTO,ASTRO,
1.0,0.46370573870573867,0.4403663003663003,0,3,ALL_ORTHODOX_RIDGE_AUTO,ASTRO,
3.0,0.4458180708180708,0.4015384615384615,0,3,ALL_ORTHODOX_RIDGE_AUTO,ASTRO,
0.03,0.5706654456654457,0.5357142857142857,0,3,ALL_ORTHODOX_RIDGE_AUTO,NPLUS,
0.1,0.5578205128205128,0.523952380952381,0,3,ALL_ORTHODOX_RIDGE_AUTO,NPLUS,
0.3,0.5488888888888889,0.5263809523809523,0,3,ALL_ORTHODOX_RIDGE_AUTO,NPLUS,
1.0,0.5283211233211232,0.46549450549450544,0,3,ALL_ORTHODOX_RIDGE_AUTO,NPLUS,
3.0,0.4914896214896216,0.4557509157509158,0,3,ALL_ORTHODOX_RIDGE_AUTO,NPLUS,
0.3,0.5102808302808303,0.4594835164835165,0,3,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.5
1.0,0.5094566544566544,0.4572673992673993,0,3,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,1.0
0.3,0.5093528693528694,0.4909450549450549,0,3,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,1.0
0.3,0.5087912087912088,0.48943223443223444,0,3,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.75
1.0,0.4965995115995116,0.4547435897435898,0,3,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.75
1.0,0.4931013431013431,0.38749084249084254,0,3,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.5
0.3,0.4761599511599511,0.45706959706959704,0,3,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.25
1.0,0.47043345543345544,0.39232600732600736,0,3,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.25
0.1,0.45015262515262516,0.40084249084249085,0,3,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.25
0.1,0.3818345543345543,0.34907692307692306,0,3,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.5
0.1,0.17847069597069598,0.15082051282051281,0,3,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.75
0.03,0.08154761904761905,0.006666666666666667,0,3,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.25
0.03,0.0,0.0,0,3,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.5
0.03,0.0,0.0,0,3,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,0.75
0.03,0.0,0.0,0,3,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,1.0
0.1,0.0,0.0,0,3,ALL_ORTHODOX_ELASTICNET_AUTO,ASTRO,1.0
0.1,0.6401343101343101,0.6175604395604396,0,3,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.25
0.3,0.635995115995116,0.6134761904761905,0,3,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.75
0.3,0.6285592185592187,0.6079047619047618,0,3,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,1.0
0.3,0.6242735042735043,0.6028754578754578,0,3,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.5
1.0,0.6053052503052504,0.5677802197802198,0,3,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.75
1.0,0.5993833943833945,0.5621391941391942,0,3,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,1.0
0.1,0.5939194139194138,0.575970695970696,0,3,ALL_ORTHODOX_ELASTICNET_AUTO,NPLUS,0.5
